epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6964,1.67339,0.7524,1.09165,0.97284,0.9187,0.96966,0.68754,0.91582,0.44242,0.91356,0.00016,0.00016,0.00016
2,16.085,1.12746,0.60795,0.96496,1,0.94093,0.99053,0.7241,0.89223,0.49456,0.89581,0.000333268,0.000333268,0.000333268
3,20.5706,1.07308,0.56583,0.93374,0.97337,0.93748,0.98821,0.7349,0.87438,0.51316,0.88943,0.000499408,0.000499408,0.000499408
4,24.9957,0.93562,0.55704,0.9233,0.96856,0.94872,0.97255,0.77067,0.75188,0.50049,0.87823,0.00065842,0.00065842,0.00065842
5,29.4606,0.88496,0.5304,0.89845,0.94844,0.94338,0.98102,0.77081,0.76379,0.4974,0.87683,0.000810304,0.000810304,0.000810304
6,33.9199,0.81145,0.47237,0.90008,0.92007,0.97436,0.97178,0.76562,0.83143,0.48838,0.89606,0.00095506,0.00095506,0.00095506
7,38.3177,0.79014,0.4975,0.87931,0.96729,0.92308,0.9755,0.7672,0.81791,0.49758,0.90136,0.00109269,0.00109269,0.00109269
8,42.6853,0.77878,0.4653,0.89101,0.97358,0.94493,0.97727,0.76952,0.77661,0.46781,0.8889,0.00122319,0.00122319,0.00122319
9,47.067,0.76931,0.50833,0.87588,0.94402,0.97436,0.97953,0.78605,0.75391,0.43012,0.88256,0.00134656,0.00134656,0.00134656
10,51.5163,0.71969,0.48023,0.86704,0.98986,0.94872,0.97941,0.80489,0.70799,0.42153,0.86835,0.0014628,0.0014628,0.0014628
11,55.9276,0.73215,0.46573,0.85397,0.97532,0.94872,0.98423,0.80292,0.71536,0.42421,0.86204,0.00157192,0.00157192,0.00157192
12,60.3027,0.68896,0.45118,0.84812,0.98009,0.94872,0.98325,0.77761,0.74545,0.47112,0.8625,0.0015644,0.0015644,0.0015644
13,64.6289,0.7398,0.45433,0.84752,0.98599,0.94872,0.97769,0.79065,0.78737,0.4913,0.86381,0.0015248,0.0015248,0.0015248
14,68.9683,0.67882,0.45753,0.84447,0.96421,0.94872,0.97672,0.81412,0.73151,0.47828,0.85037,0.0014852,0.0014852,0.0014852
15,73.3836,0.66617,0.45522,0.84003,0.94981,0.97059,0.97062,0.80833,0.72796,0.48709,0.84556,0.0014456,0.0014456,0.0014456
16,77.7603,0.69042,0.4755,0.85273,0.96343,0.94872,0.97673,0.81898,0.68429,0.50725,0.83828,0.001406,0.001406,0.001406
17,82.2305,0.64279,0.45111,0.8345,0.96217,0.94872,0.97953,0.80511,0.69074,0.51138,0.84111,0.0013664,0.0013664,0.0013664
18,86.6326,0.62817,0.42241,0.85175,0.96406,0.94872,0.98342,0.81078,0.69435,0.49481,0.84137,0.0013268,0.0013268,0.0013268
19,90.9851,0.63446,0.43171,0.83132,0.94983,0.97096,0.9829,0.80733,0.70779,0.46609,0.84447,0.0012872,0.0012872,0.0012872
20,95.3739,0.60618,0.43213,0.84025,0.95951,0.97436,0.98398,0.82004,0.69262,0.44238,0.84209,0.0012476,0.0012476,0.0012476
21,99.8049,0.62646,0.4277,0.85719,1,0.96697,0.98029,0.81532,0.67189,0.4475,0.83956,0.001208,0.001208,0.001208
22,104.185,0.59824,0.4223,0.84677,0.98197,0.94872,0.97786,0.81703,0.67184,0.45812,0.83907,0.0011684,0.0011684,0.0011684
23,108.542,0.59465,0.38678,0.8296,0.99928,0.94872,0.97739,0.81222,0.67399,0.4777,0.83846,0.0011288,0.0011288,0.0011288
24,112.979,0.60556,0.41194,0.82637,0.94701,0.97436,0.97698,0.80387,0.68579,0.43664,0.85057,0.0010892,0.0010892,0.0010892
25,117.32,0.60223,0.404,0.83821,0.94537,0.97436,0.97709,0.8197,0.66375,0.43681,0.85649,0.0010496,0.0010496,0.0010496
26,121.727,0.5603,0.40373,0.83232,0.94652,0.97436,0.97756,0.80917,0.6577,0.43823,0.8567,0.00101,0.00101,0.00101
27,126.133,0.5739,0.37253,0.84951,0.94978,0.96989,0.9776,0.82872,0.64006,0.44392,0.85503,0.0009704,0.0009704,0.0009704
28,130.618,0.54773,0.38018,0.83733,0.94995,0.97339,0.97813,0.83553,0.60842,0.42087,0.84438,0.0009308,0.0009308,0.0009308
29,135.064,0.5824,0.37402,0.83808,0.94662,0.97436,0.97933,0.8398,0.62867,0.42849,0.83471,0.0008912,0.0008912,0.0008912
30,139.507,0.56575,0.38132,0.83438,0.94814,0.97436,0.97971,0.82285,0.66713,0.44449,0.83459,0.0008516,0.0008516,0.0008516
31,143.871,0.54828,0.39403,0.82246,0.94765,0.97436,0.97709,0.82931,0.60577,0.41882,0.82812,0.000812,0.000812,0.000812
32,148.271,0.5432,0.35761,0.8203,0.94709,0.97436,0.97754,0.84176,0.60919,0.41084,0.83052,0.0007724,0.0007724,0.0007724
33,152.759,0.55501,0.35968,0.84632,0.94973,0.97436,0.97739,0.83532,0.60926,0.42032,0.8301,0.0007328,0.0007328,0.0007328
34,157.274,0.53074,0.3783,0.83755,0.94867,0.94872,0.97705,0.84711,0.62063,0.4281,0.82706,0.0006932,0.0006932,0.0006932
35,161.738,0.51694,0.3534,0.82703,0.96167,0.94872,0.9775,0.845,0.61595,0.41429,0.82692,0.0006536,0.0006536,0.0006536
36,166.155,0.52413,0.37892,0.82398,0.96223,0.94872,0.97766,0.84897,0.61299,0.40058,0.82918,0.000614,0.000614,0.000614
37,170.61,0.51569,0.34945,0.81638,0.94967,0.96783,0.97729,0.84266,0.62072,0.39711,0.83131,0.0005744,0.0005744,0.0005744
38,174.991,0.54113,0.35749,0.83115,0.96577,0.94872,0.97689,0.83334,0.63357,0.39136,0.83413,0.0005348,0.0005348,0.0005348
39,179.372,0.51799,0.34613,0.82052,0.97412,0.96512,0.97831,0.84433,0.62806,0.38745,0.83504,0.0004952,0.0004952,0.0004952
40,183.8,0.53078,0.36436,0.83123,0.99922,0.94872,0.97867,0.84796,0.61075,0.38974,0.83015,0.0004556,0.0004556,0.0004556
41,188.672,0.4967,0.34606,0.80513,0.99357,0.94872,0.97886,0.8429,0.60936,0.39268,0.83114,0.000416,0.000416,0.000416
42,193.052,0.47845,0.33241,0.81374,0.99059,0.94872,0.97829,0.84964,0.62815,0.41022,0.83023,0.0003764,0.0003764,0.0003764
43,197.732,0.47242,0.31814,0.78043,0.99203,0.94872,0.97744,0.83533,0.62903,0.41061,0.82766,0.0003368,0.0003368,0.0003368
44,202.153,0.44596,0.31917,0.8,0.99504,0.94872,0.97687,0.84467,0.60837,0.40591,0.82406,0.0002972,0.0002972,0.0002972
45,206.542,0.44624,0.31831,0.79737,1,0.94673,0.97693,0.85404,0.60423,0.40496,0.82481,0.0002576,0.0002576,0.0002576
46,211.016,0.44565,0.31807,0.7952,0.96566,0.94872,0.97634,0.85192,0.60466,0.39313,0.8237,0.000218,0.000218,0.000218
47,215.41,0.44499,0.30603,0.80977,0.96776,0.94872,0.97654,0.85118,0.60342,0.39339,0.82293,0.0001784,0.0001784,0.0001784
48,219.856,0.4448,0.30798,0.80567,0.96909,0.94872,0.97661,0.86023,0.59759,0.39079,0.82212,0.0001388,0.0001388,0.0001388
49,224.312,0.42476,0.31238,0.80232,0.96936,0.94872,0.97508,0.85789,0.59557,0.39246,0.82162,9.92e-05,9.92e-05,9.92e-05
50,228.737,0.43142,0.30178,0.78524,0.96916,0.94872,0.97515,0.85661,0.59575,0.39064,0.82101,5.96e-05,5.96e-05,5.96e-05
