epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.469,1.34085,1.00763,1.22757,0.53879,0.21458,0.21076,0.11103,2.71078,3.73133,3.17277,0.000665158,0.000665158,0.000665158
2,423.269,1.3552,0.8789,1.25104,0.83514,0.70852,0.78448,0.48855,1.44997,1.27142,1.34941,0.00130545,0.00130545,0.00130545
3,625.811,1.31755,0.82359,1.22521,0.93226,0.83391,0.8916,0.57433,1.27067,0.97026,1.20903,0.00191935,0.00191935,0.00191935
4,827.899,1.27361,0.77315,1.20037,0.92283,0.83964,0.90504,0.59065,1.25279,0.73064,1.19723,0.0018812,0.0018812,0.0018812
5,1030.02,1.23945,0.72591,1.18,0.94001,0.87699,0.91984,0.59813,1.26164,0.6879,1.19881,0.0018416,0.0018416,0.0018416
6,1232.1,1.22752,0.69116,1.17666,0.9604,0.89476,0.93865,0.62629,1.20446,0.61817,1.1636,0.001802,0.001802,0.001802
7,1434.15,1.21832,0.6734,1.17607,0.95972,0.90615,0.93683,0.62563,1.19524,0.61343,1.16102,0.0017624,0.0017624,0.0017624
8,1635.86,1.18901,0.65051,1.16071,0.96622,0.89021,0.94933,0.64449,1.19106,0.58846,1.14374,0.0017228,0.0017228,0.0017228
9,1838.15,1.18797,0.62914,1.15014,0.96251,0.90524,0.94223,0.61888,1.189,0.59337,1.14476,0.0016832,0.0016832,0.0016832
10,2040.55,1.16937,0.61283,1.1376,0.93997,0.89248,0.92628,0.61866,1.19534,0.59097,1.1409,0.0016436,0.0016436,0.0016436
11,2242.35,1.16175,0.60683,1.14091,0.94096,0.90615,0.94911,0.64289,1.17686,0.54907,1.13692,0.001604,0.001604,0.001604
12,2444.29,1.16097,0.59527,1.13059,0.9754,0.91116,0.95257,0.64908,1.1607,0.53175,1.12929,0.0015644,0.0015644,0.0015644
13,2646.13,1.14041,0.57919,1.12453,0.95677,0.90737,0.94436,0.64371,1.17134,0.55036,1.12412,0.0015248,0.0015248,0.0015248
14,2847.91,1.1405,0.5772,1.12233,0.96424,0.91708,0.95634,0.65413,1.14843,0.51897,1.11129,0.0014852,0.0014852,0.0014852
15,3049.66,1.14223,0.56642,1.1251,0.96362,0.91845,0.95129,0.65991,1.13567,0.50689,1.12006,0.0014456,0.0014456,0.0014456
16,3251.67,1.12585,0.55774,1.11216,0.9671,0.91708,0.95071,0.64853,1.14284,0.52241,1.11016,0.001406,0.001406,0.001406
17,4727.92,1.12562,0.55337,1.11323,0.97498,0.9221,0.95976,0.66538,1.14631,0.50796,1.11409,0.0013664,0.0013664,0.0013664
18,4929.58,1.12928,0.55414,1.11098,0.96929,0.92022,0.95968,0.66689,1.12935,0.50054,1.09755,0.0013268,0.0013268,0.0013268
19,5131.48,1.10598,0.53739,1.09386,0.97597,0.91845,0.95626,0.66274,1.13645,0.49299,1.10479,0.0012872,0.0012872,0.0012872
20,5333.13,1.10921,0.53408,1.10011,0.97256,0.93257,0.9621,0.67166,1.11706,0.4839,1.08572,0.0012476,0.0012476,0.0012476
21,5534.78,1.11696,0.53443,1.1119,0.97997,0.92255,0.96198,0.67356,1.11609,0.48551,1.09575,0.001208,0.001208,0.001208
22,5736.58,1.10353,0.52954,1.10164,0.97498,0.92711,0.96534,0.67355,1.11738,0.46934,1.09092,0.0011684,0.0011684,0.0011684
23,5938.32,1.09642,0.52041,1.09819,0.97776,0.92136,0.96497,0.67634,1.10696,0.4647,1.08715,0.0011288,0.0011288,0.0011288
24,6140.12,1.08919,0.50807,1.09154,0.9795,0.93584,0.96758,0.68747,1.09797,0.46253,1.08033,0.0010892,0.0010892,0.0010892
