epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.209,1.21374,0.91059,1.13485,0.9518,0.89072,0.94243,0.62755,1.19432,0.60762,1.10677,0.00332579,0.00332579,0.00332579
2,420.293,1.1982,0.67297,1.11688,0.9292,0.87973,0.92572,0.59245,1.24178,0.73915,1.19836,0.00663715,0.00663715,0.00663715
3,623.179,1.2599,0.77034,1.15572,0.91889,0.87335,0.89905,0.55646,1.26429,0.82199,1.19391,0.00992651,0.00992651,0.00992651
4,825.753,1.28443,0.80487,1.1874,0.88583,0.86059,0.86308,0.54469,1.28434,0.92992,1.23008,0.009901,0.009901,0.009901
5,1028.17,1.24929,0.74583,1.17398,0.94865,0.88375,0.91738,0.60134,1.22245,0.70872,1.1909,0.009868,0.009868,0.009868
6,1230.37,1.23208,0.70829,1.17037,0.96077,0.90383,0.94091,0.61401,1.21205,0.64559,1.16031,0.009835,0.009835,0.009835
7,1432.51,1.22944,0.69386,1.16663,0.96193,0.89476,0.93782,0.62947,1.17803,0.63262,1.1471,0.009802,0.009802,0.009802
8,1634.86,1.19679,0.6695,1.15358,0.95568,0.87424,0.92954,0.61887,1.21161,0.64804,1.16856,0.009769,0.009769,0.009769
9,1836.89,1.19552,0.64711,1.13858,0.96872,0.91701,0.95497,0.64487,1.17544,0.56708,1.12893,0.009736,0.009736,0.009736
10,2039.14,1.16689,0.62575,1.12728,0.95801,0.89021,0.93486,0.62697,1.19908,0.60068,1.14313,0.009703,0.009703,0.009703
11,2241.15,1.16529,0.6219,1.12613,0.96395,0.87062,0.93667,0.63675,1.17716,0.60142,1.13844,0.00967,0.00967,0.00967
12,2443.22,1.16041,0.61216,1.12254,0.97831,0.9043,0.95056,0.64651,1.1585,0.54697,1.12891,0.009637,0.009637,0.009637
13,2645.48,1.13782,0.59432,1.1225,0.97204,0.90569,0.95359,0.64925,1.15899,0.54261,1.13148,0.009604,0.009604,0.009604
14,2847.68,1.14898,0.59552,1.1296,0.97494,0.92073,0.95893,0.65736,1.13517,0.52421,1.11196,0.009571,0.009571,0.009571
15,3049.92,1.14715,0.58446,1.12302,0.97622,0.91658,0.95344,0.66641,1.13135,0.51302,1.10479,0.009538,0.009538,0.009538
16,3252.12,1.13065,0.57732,1.11583,0.97485,0.92711,0.95924,0.67041,1.10694,0.51701,1.09662,0.009505,0.009505,0.009505
17,3454.29,1.131,0.56659,1.1155,0.98043,0.93394,0.96541,0.66928,1.1217,0.4958,1.10156,0.009472,0.009472,0.009472
18,3656.44,1.13808,0.56953,1.11039,0.9776,0.92665,0.96443,0.67142,1.10492,0.50701,1.0993,0.009439,0.009439,0.009439
19,3858.68,1.11056,0.55419,1.10118,0.97253,0.92437,0.95956,0.66944,1.13079,0.50084,1.10527,0.009406,0.009406,0.009406
20,4060.88,1.11848,0.55755,1.10108,0.97699,0.93394,0.96544,0.68452,1.11259,0.49109,1.08748,0.009373,0.009373,0.009373
21,4262.94,1.12517,0.55629,1.11049,0.97878,0.92756,0.96565,0.67505,1.10318,0.49637,1.08799,0.00934,0.00934,0.00934
22,4465.25,1.12019,0.54438,1.09904,0.98019,0.92413,0.96935,0.6776,1.10769,0.47288,1.08466,0.009307,0.009307,0.009307
23,4667.19,1.10897,0.54049,1.09667,0.9845,0.92621,0.96726,0.68145,1.09582,0.47565,1.0796,0.009274,0.009274,0.009274
24,4869.61,1.10237,0.53906,1.09329,0.98696,0.93113,0.9675,0.68119,1.10556,0.47518,1.09308,0.009241,0.009241,0.009241
25,5071.6,1.09318,0.53122,1.08476,0.97842,0.92954,0.96688,0.68089,1.10424,0.47209,1.08182,0.009208,0.009208,0.009208
26,5273.68,1.08796,0.5312,1.07816,0.9853,0.92711,0.96585,0.68513,1.09584,0.46821,1.08139,0.009175,0.009175,0.009175
27,5475.75,1.094,0.52358,1.08627,0.97866,0.94077,0.9704,0.68957,1.08967,0.44852,1.07952,0.009142,0.009142,0.009142
28,5677.91,1.08867,0.51964,1.08262,0.97661,0.93223,0.96718,0.68501,1.1051,0.46605,1.09151,0.009109,0.009109,0.009109
29,5879.89,1.07957,0.515,1.08614,0.98443,0.93485,0.97239,0.68804,1.09103,0.46612,1.08434,0.009076,0.009076,0.009076
30,6081.96,1.07941,0.51686,1.0801,0.98521,0.93531,0.97237,0.6951,1.07081,0.45978,1.07319,0.009043,0.009043,0.009043
31,6284.29,1.07205,0.51537,1.08018,0.98552,0.92984,0.97179,0.69462,1.06659,0.44708,1.05761,0.00901,0.00901,0.00901
32,6486.34,1.07455,0.5084,1.0748,0.97955,0.93849,0.97032,0.68769,1.0832,0.43889,1.07569,0.008977,0.008977,0.008977
33,6688.76,1.06984,0.50435,1.08009,0.97868,0.9411,0.97409,0.69261,1.07821,0.45616,1.07868,0.008944,0.008944,0.008944
34,6890.95,1.07944,0.50549,1.08013,0.98055,0.94162,0.97531,0.69234,1.07838,0.44188,1.07736,0.008911,0.008911,0.008911
35,7093.15,1.07639,0.51293,1.07505,0.98099,0.93759,0.97387,0.69607,1.07383,0.43659,1.06739,0.008878,0.008878,0.008878
36,7295.4,1.06566,0.49984,1.07359,0.98796,0.93425,0.97531,0.70463,1.06872,0.43245,1.06619,0.008845,0.008845,0.008845
37,7497.54,1.06842,0.49627,1.08272,0.9829,0.94293,0.97518,0.70075,1.0662,0.43195,1.06765,0.008812,0.008812,0.008812
38,7699.72,1.06603,0.49716,1.07533,0.98088,0.93895,0.97465,0.70607,1.07629,0.4369,1.07054,0.008779,0.008779,0.008779
39,7902.03,1.05847,0.4945,1.0674,0.98014,0.94421,0.97598,0.70076,1.07746,0.43612,1.0732,0.008746,0.008746,0.008746
40,8104.25,1.04345,0.4904,1.06142,0.98467,0.93654,0.97435,0.70203,1.0674,0.42182,1.06421,0.008713,0.008713,0.008713
41,8306.27,1.06052,0.49379,1.07143,0.98345,0.94214,0.97651,0.70754,1.06612,0.42185,1.06856,0.00868,0.00868,0.00868
42,8508.47,1.04544,0.48435,1.05783,0.98056,0.9424,0.97407,0.69932,1.05988,0.41613,1.06104,0.008647,0.008647,0.008647
43,8710.51,1.05332,0.48454,1.06429,0.98612,0.93857,0.97092,0.70014,1.05929,0.40686,1.06145,0.008614,0.008614,0.008614
44,8912.7,1.048,0.48414,1.06269,0.98524,0.9427,0.97274,0.70452,1.06079,0.41502,1.06267,0.008581,0.008581,0.008581
45,9114.72,1.044,0.47685,1.06497,0.98204,0.94624,0.97552,0.70978,1.06173,0.41185,1.05749,0.008548,0.008548,0.008548
46,9316.88,1.04099,0.48368,1.06373,0.98159,0.94738,0.9757,0.70698,1.05628,0.40648,1.05694,0.008515,0.008515,0.008515
47,9518.87,1.04101,0.47701,1.06088,0.97975,0.94715,0.9745,0.70388,1.05471,0.40674,1.05835,0.008482,0.008482,0.008482
48,9720.89,1.03661,0.47304,1.06014,0.98347,0.94845,0.97808,0.71282,1.0467,0.40433,1.05607,0.008449,0.008449,0.008449
49,9923.03,1.04371,0.47918,1.05825,0.98294,0.94489,0.97683,0.71193,1.05019,0.40252,1.04926,0.008416,0.008416,0.008416
50,10125.2,1.03395,0.46589,1.05587,0.98857,0.94123,0.97651,0.71219,1.05476,0.40359,1.05467,0.008383,0.008383,0.008383
51,10327.3,1.03615,0.4738,1.06108,0.98125,0.95034,0.9785,0.72252,1.04064,0.39351,1.05388,0.00835,0.00835,0.00835
