epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.879,1.21374,0.91059,1.13485,0.9518,0.89072,0.94243,0.62755,1.19432,0.60762,1.10677,0.00332579,0.00332579,0.00332579
2,418.681,1.20136,0.67401,1.11518,0.94987,0.89431,0.94203,0.60482,1.22223,0.71916,1.16026,0.0065932,0.0065932,0.0065932
3,621.247,1.25459,0.7599,1.16011,0.86226,0.67973,0.78738,0.47194,1.37546,1.12042,1.27149,0.00979461,0.00979461,0.00979461
4,823.806,1.28517,0.78311,1.19465,0.90929,0.85968,0.90496,0.57556,1.26418,0.89156,1.23095,0.009703,0.009703,0.009703
5,1026.06,1.25197,0.73697,1.18524,0.94421,0.87244,0.91375,0.58984,1.26109,0.71751,1.21245,0.009604,0.009604,0.009604
6,1227.95,1.23213,0.69804,1.17559,0.94667,0.89203,0.93478,0.61792,1.21036,0.62861,1.17661,0.009505,0.009505,0.009505
7,1430.1,1.22328,0.68817,1.18053,0.95079,0.88975,0.92989,0.61917,1.20049,0.65469,1.17384,0.009406,0.009406,0.009406
8,1632.04,1.19289,0.65274,1.16475,0.96798,0.909,0.94392,0.63277,1.18833,0.60572,1.1517,0.009307,0.009307,0.009307
9,1834.55,1.18534,0.64494,1.14944,0.96477,0.91081,0.94903,0.63836,1.16753,0.60565,1.15519,0.009208,0.009208,0.009208
10,2038.12,1.16428,0.62371,1.13497,0.97233,0.90524,0.94875,0.63745,1.19001,0.5807,1.14231,0.009109,0.009109,0.009109
11,2240.72,1.16172,0.62456,1.13823,0.9579,0.92255,0.9584,0.65184,1.15467,0.56297,1.13059,0.00901,0.00901,0.00901
12,2443.63,1.15793,0.60348,1.1316,0.96648,0.90633,0.95389,0.65673,1.13268,0.53652,1.12302,0.008911,0.008911,0.008911
13,2646.56,1.13505,0.58568,1.12718,0.97422,0.91845,0.95311,0.64943,1.16809,0.53595,1.13343,0.008812,0.008812,0.008812
14,2849.25,1.13442,0.58403,1.12666,0.97791,0.91754,0.95721,0.66579,1.13508,0.53014,1.11423,0.008713,0.008713,0.008713
15,3052.26,1.13832,0.57506,1.12613,0.98057,0.91988,0.96354,0.67508,1.10949,0.51912,1.10562,0.008614,0.008614,0.008614
16,3255.18,1.12372,0.56904,1.11236,0.97348,0.91969,0.9579,0.66744,1.12132,0.51749,1.10969,0.008515,0.008515,0.008515
17,3472.67,1.11931,0.5571,1.11203,0.97374,0.92898,0.96099,0.68078,1.12404,0.51021,1.10345,0.008416,0.008416,0.008416
18,3745.86,1.12461,0.56203,1.10741,0.97896,0.91144,0.95229,0.66211,1.11893,0.54511,1.09819,0.008317,0.008317,0.008317
19,3966.07,1.10565,0.55052,1.09658,0.97971,0.92409,0.96124,0.66754,1.11838,0.50791,1.10363,0.008218,0.008218,0.008218
20,4168.13,1.10801,0.54677,1.10891,0.96845,0.93713,0.9627,0.67803,1.10395,0.49032,1.09323,0.008119,0.008119,0.008119
21,4370.79,1.11625,0.54148,1.11608,0.98171,0.93121,0.96059,0.66988,1.11281,0.49264,1.09843,0.00802,0.00802,0.00802
22,4572.99,1.1068,0.54121,1.10981,0.97883,0.92693,0.96515,0.67729,1.10831,0.47088,1.10714,0.007921,0.007921,0.007921
23,4775.05,1.095,0.5291,1.10088,0.97631,0.93485,0.96766,0.68451,1.0967,0.48335,1.09066,0.007822,0.007822,0.007822
24,4977.14,1.08615,0.52321,1.09423,0.98017,0.93303,0.96692,0.68787,1.09827,0.47319,1.09744,0.007723,0.007723,0.007723
25,5179.12,1.08378,0.51559,1.09384,0.96711,0.93765,0.9657,0.67591,1.10897,0.47035,1.09302,0.007624,0.007624,0.007624
26,5388.27,1.07517,0.5121,1.08822,0.98376,0.93831,0.97178,0.69258,1.08613,0.4577,1.08865,0.007525,0.007525,0.007525
27,5655.44,1.08281,0.51078,1.09854,0.98043,0.93559,0.96951,0.6902,1.08426,0.45124,1.07608,0.007426,0.007426,0.007426
28,5858.98,1.07257,0.5057,1.0858,0.98414,0.93304,0.96841,0.6892,1.08667,0.44436,1.08746,0.007327,0.007327,0.007327
29,6063.01,1.06912,0.50065,1.09179,0.98622,0.93667,0.96995,0.68418,1.08698,0.45912,1.08778,0.007228,0.007228,0.007228
30,6266.12,1.06339,0.49488,1.08027,0.98414,0.94169,0.9757,0.70355,1.06708,0.45138,1.07634,0.007129,0.007129,0.007129
31,6468.44,1.0542,0.4897,1.08304,0.98517,0.9303,0.9718,0.69564,1.07938,0.44291,1.07573,0.00703,0.00703,0.00703
32,6671.32,1.05721,0.48875,1.07999,0.98097,0.93955,0.97306,0.69702,1.07893,0.43554,1.085,0.006931,0.006931,0.006931
33,6875.06,1.05718,0.48547,1.08855,0.97744,0.93485,0.96959,0.69949,1.06506,0.44398,1.07477,0.006832,0.006832,0.006832
34,7078.83,1.05942,0.4859,1.07667,0.98958,0.93257,0.97168,0.69886,1.07353,0.4392,1.07639,0.006733,0.006733,0.006733
35,7281.08,1.05852,0.48979,1.07014,0.98245,0.9467,0.97386,0.70251,1.06465,0.42796,1.06508,0.006634,0.006634,0.006634
36,7484.96,1.0479,0.47964,1.07231,0.98149,0.94305,0.97585,0.70917,1.05877,0.42101,1.0682,0.006535,0.006535,0.006535
37,7687.2,1.04926,0.48047,1.07542,0.98334,0.94144,0.97226,0.70089,1.0688,0.42434,1.06681,0.006436,0.006436,0.006436
38,7889.11,1.04366,0.47544,1.06698,0.98066,0.94716,0.97407,0.70885,1.06078,0.42352,1.06664,0.006337,0.006337,0.006337
39,8094.7,1.03626,0.47112,1.06619,0.9825,0.94652,0.97506,0.70393,1.0704,0.42092,1.07303,0.006238,0.006238,0.006238
40,8295.59,1.02539,0.46998,1.0586,0.98343,0.94637,0.97448,0.7079,1.0551,0.41142,1.06441,0.006139,0.006139,0.006139
41,8496.18,1.03478,0.46885,1.06251,0.98031,0.94989,0.97437,0.70472,1.06295,0.41566,1.07508,0.00604,0.00604,0.00604
42,8696.64,1.02339,0.46556,1.05902,0.98618,0.94262,0.97516,0.70498,1.05106,0.41339,1.06287,0.005941,0.005941,0.005941
43,8897.21,1.03027,0.46084,1.05883,0.97981,0.95065,0.97545,0.70584,1.05786,0.40102,1.06147,0.005842,0.005842,0.005842
44,9097.75,1.02087,0.46058,1.05979,0.98424,0.95626,0.97768,0.71253,1.0519,0.40085,1.0616,0.005743,0.005743,0.005743
45,9301.25,1.01668,0.45244,1.06177,0.98212,0.95116,0.97777,0.71252,1.05367,0.39594,1.06334,0.005644,0.005644,0.005644
46,9505.63,1.01144,0.45741,1.05782,0.98304,0.95037,0.977,0.71232,1.04705,0.39661,1.05668,0.005545,0.005545,0.005545
47,9706.98,1.01456,0.44898,1.05604,0.97531,0.95308,0.97539,0.70754,1.05313,0.40042,1.0599,0.005446,0.005446,0.005446
48,9910.24,1.01042,0.44692,1.05641,0.98036,0.94624,0.97721,0.71615,1.05104,0.40332,1.06418,0.005347,0.005347,0.005347
49,10110.7,1.00795,0.44441,1.05873,0.98185,0.95171,0.97789,0.71534,1.04815,0.39202,1.06031,0.005248,0.005248,0.005248
50,10311.3,1.0037,0.4408,1.05456,0.98565,0.94761,0.97757,0.71417,1.0613,0.39519,1.06427,0.005149,0.005149,0.005149
51,10515.9,1.00121,0.44334,1.05191,0.98719,0.94776,0.97783,0.7183,1.04298,0.38339,1.05314,0.00505,0.00505,0.00505
52,10718.3,0.99923,0.43994,1.04912,0.98714,0.94445,0.97513,0.71853,1.04365,0.38488,1.05747,0.004951,0.004951,0.004951
53,10923.5,0.99035,0.42888,1.0434,0.98561,0.9508,0.97831,0.71654,1.04819,0.38466,1.05262,0.004852,0.004852,0.004852
54,11125.7,0.99095,0.43156,1.03995,0.98215,0.9528,0.97833,0.7198,1.04536,0.37984,1.0529,0.004753,0.004753,0.004753
55,11328.2,0.99898,0.43503,1.0488,0.98535,0.95005,0.97738,0.72092,1.0378,0.3839,1.05739,0.004654,0.004654,0.004654
